target,conf_0,conf_1,conf_2,conf_3,conf_4,conf_5,conf_6,conf_7,conf_8,conf_9,conf_10,conf_11,conf_12,conf_13,conf_14
8,0.0002534270286559815,0.00012031793594358803,0.00022974014282225812,0.00010527372360226913,0.00480179786682124,0.00015789270400999226,3.8611888885498044e-05,0.00020250082015990238,0.99326171875,0.00010724067687987627,3.2782554626454374e-05,0.00030374526977536824,0.00024346113204954276,5.90443611144907e-05,0.00014486312866208813
4,0.00020734071731563585,0.00066728591918942,2.6416778564453124e-05,0.00045933723449702,0.996484375,0.0001955509185790917,8.17418098449639e-05,0.000563824176788281,0.000293314456939666,0.00022329092025752742,0.00026056766510007193,7.539987564085266e-05,0.00017864704132078342,4.5347213745117185e-05,0.00015141963958739202
8,0.0003497004508971909,0.0006062984466552497,2.6178359985351562e-05,0.00091289281845088,0.00436991453170774,2.7728080749511718e-05,5.0890445709226175e-05,0.0003417253494262458,0.99267578125,7.785558700560305e-05,4.2784214019765244e-05,7.370710372922718e-05,0.0003683209419250401,4.1961669921871246e-05,6.633996963500445e-05
4,0.000253546237945531,0.00034475326538082934,3.058910369873047e-05,0.0015282154083251398,0.993359375,0.00020657777786252645,0.00010924339294429578,0.0003798365592956156,0.0005623459815978399,0.00013849735260007656,0.0003234505653381136,4.761219024658203e-05,0.0024939537048339557,3.637075424194336e-05,0.00010999441146848602
1,9.158849716184601e-05,0.998046875,1.7774105072021484e-05,0.000133419036865205,0.00028760433197017705,2.5069713592529298e-05,3.4809112548828125e-05,0.00013419389724728047,0.0009994506835937001,4.072189331053336e-05,6.287097930904492e-05,5.613565444946289e-05,3.113746643066406e-05,1.9741058349609374e-05,2.4127960205078126e-05
1,0.00020443201065060697,0.9927734375,6.258487701415796e-05,0.0003994941711425442,0.0009826660156249602,6.382465362548141e-05,0.0001160383224487139,0.00027254819869992257,0.0044936180114745605,0.00011225938796995867,0.0001757264137267704,0.00017181634902950523,7.255077362056594e-05,9.77754592895328e-05,6.8759918212885e-05
4,0.00010221004486082514,0.00025902986526487535,2.3949146270751954e-05,0.00045521259307854,0.9978515625,0.00011628866195676594,5.679130554198539e-05,0.00019656419754025727,0.0002997279167174863,3.428459167480469e-05,0.00010699033737178562,6.196498870847828e-05,0.0003032207489013325,3.647804260253906e-05,9.61303710937303e-05
3,0.0001311302185058228,0.0001730084419250335,5.70178031921354e-05,0.99765625,0.0005789518356323077,0.0002746105194091678,8.4888935089101e-05,0.00042029619216914487,0.00034689903259272,5.7113170623774224e-05,3.993511199951172e-05,0.00014510154724118782,3.8003921508789064e-05,1.856088638305664e-05,5.317926406859649e-05
4,8.236169815063101e-05,8.569955825803368e-05,2.2470951080322266e-05,0.0006641268730163201,0.9982421875,4.999637603759078e-05,4.976987838745117e-05,0.00014287233352658523,0.00031636953353878834,0.00012369155883788595,6.37054443359375e-05,8.258819580077391e-05,3.836154937744141e-05,2.1839141845703124e-05,4.00543212890625e-05
4,0.015614128112792938,0.0012691497802734086,0.001027262210845907,0.00498137474060054,0.94462890625,0.001447081565856913,0.005366778373718231,0.00268746614456174,0.005512511730194068,0.0036640644073486018,0.0021535158157348342,0.0017005562782287293,0.0067481994628906,0.00041903257369991836,0.0028348565101622997
