target,conf_0,conf_1,conf_2,conf_3,conf_4,conf_5,conf_6,conf_7,conf_8,conf_9,conf_10,conf_11,conf_12,conf_13,conf_14
8,0.0030189514160155807,0.0038675308227538404,0.0031015276908874,0.0015654802322387282,0.008575630187988261,0.0006124496459960587,0.00130615234374994,0.00265202522277828,0.9638671875,0.00188140869140618,0.00010684728622433444,0.0026361465454101,0.00018286705017086813,0.004752659797668419,0.0018951892852782798
4,0.00022678375244136484,0.007033538818359361,0.00011092424392698446,0.00290412902832026,0.9826171875,0.0009790420532226,0.00026205778121942,0.0012953758239745601,0.00092210769653314,0.00036798715591426003,0.0009789943695067802,0.00037345886230464,0.0009520769119262199,0.0004654884338378599,0.0004859328269958196
8,0.00030894279479978484,0.0008450746536254529,9.443759918212547e-05,0.0035671710968017195,0.02178802490234372,9.181499481199226e-05,3.343820571899414e-05,0.0025809884071349718,0.96904296875,3.9958953857421874e-05,6.558895111082547e-05,0.00012536048889158735,0.0011170983314513908,0.000260746479034396,6.095170974730336e-05
4,0.00177214145660394,0.00105826854705806,0.0006695270538329839,0.01076793670654294,0.91669921875,0.0009914398193358802,0.0004837393760680965,0.0024200439453124596,0.022866821289062478,0.0004183053970336556,0.0005884289741515938,0.001044440269470173,0.03877229690551756,0.00110833644866936,0.00036538839340207835
1,0.0016412258148192998,0.97265625,8.38398933410489e-05,0.00375337600708004,0.01097221374511716,0.00148940086364742,0.00021324157714839592,0.00264639854431146,0.005511856079101521,8.852481842040375e-05,0.00040011405944820403,0.00019631385803218,4.8959255218504144e-05,0.00024167299270625196,4.062652587890625e-05
1,0.0027622222900390197,0.9677734375,7.194280624389337e-05,0.00287809371948238,0.0069862365722656,0.0008621692657470399,0.00015598535537717772,0.0023274421691894,0.014505767822265581,0.0002310395240783354,0.0005970239639281696,0.00057291984558102,7.719993591307094e-05,0.0001989603042601961,2.4759769439697264e-05
4,0.00014922618865964484,0.00062768459320066,0.00016156435012816008,0.00153732299804682,0.97890625,0.0002596616744994925,0.00016150474548337358,0.0018218040466308004,0.00272979736328122,0.00026776790618895333,0.00015839338302609023,0.0001430511474609189,0.01264219284057612,0.00030208826065061177,0.000248980522155743
3,0.00195846557617184,0.012452220916748039,0.0004983425140380489,0.93603515625,0.010000991821289041,0.00082788467407222,0.00145351886749264,0.015102386474609342,0.013829803466796861,0.0003185153007506952,0.00018551349639888882,0.0025756835937499603,0.0037485599517821794,0.00040395259857174535,0.0006751179695129
4,0.0007092237472533855,0.00073013305664058,0.0006044149398803462,0.01982116699218748,0.9646484375,0.0009826898574828399,0.0007588982582092052,0.00092005729675286,0.00590534210205076,0.00108089447021478,0.0002992868423461635,0.000747704505920363,0.0018592000007629124,0.0004637360572814885,0.00043284893035885387
4,0.028662490844726562,0.0069282531738281,0.0028162002563476,0.01005859374999996,0.72265625,0.0037277221679687007,0.00791358947753902,0.014650344848632799,0.02289581298828124,0.06678314208984373,0.00682010650634762,0.0048662185668944796,0.087884521484375,0.0034601211547851196,0.00992431640624994
7,0.0013228416442870598,0.0076858520507812195,0.00153112411499018,0.00508041381835936,0.03197021484375,0.0068416595458984,0.0032400131225585396,0.91689453125,0.01080932617187496,0.00285167694091792,0.0035285949707031,0.00302143096923824,0.00248699188232418,0.0013764381408691002,0.00135393142700192
8,0.002068018913269,0.0011998176574706599,0.00084456205368036,0.0028166770935058203,0.031904220581054674,0.0004252552986144643,0.0006359934806823161,0.0024707794189452797,0.94892578125,0.0032617092132568,0.00014050006866451618,0.0007665157318114854,0.0029077053070068,0.001065039634704557,0.00046336650848384715
3,0.00043210983276364013,0.00130896568298336,0.0001784324645995883,0.98515625,0.00500221252441402,0.00018101930618281953,0.0006814837455749018,0.0011376380920409602,0.0015381813049316,0.00019546747207637802,5.5170059204099375e-05,0.0030191421508788596,0.0004568338394164535,0.0004221677780151025,0.0003226757049560235
4,0.0009378910064696801,0.00095825195312494,0.00047180652618404,0.019334983825683556,0.96201171875,0.00051395893096918,0.0016832947731017615,0.0023278236389159797,0.0022138595581054398,0.0004111766815185,0.00027966499328608847,0.00242017507553096,0.00501098632812496,0.000639069080352748,0.0007685542106628011
