filename,Xmin_Ymin_Xmax_Ymax,class,filename_trim,fold,target,pred,conf_0,conf_1,conf_2,conf_3,conf_4,conf_5,conf_6,conf_7,conf_8,conf_9,conf_10,conf_11,conf_12,conf_13,conf_14,pred_0,pred_1
00037f39.jpg,,Lightning,00037f39_trim.jpg,1,3,3,0.00109934806823725,0.00087684392929075,0.00022551417350767636,0.95947265625,0.02607464790344235,0.0006978213787078826,0.00039267539978025,0.00054359436035155,0.00858402252197265,0.00032973289489745937,0.00015842914581295,0.0006441473960876,0.0006502866744995117,0.00019073486328120002,9.700655937194218e-05,3,3
000c15d0.jpg,"[906, 1686, 1294, 1946]",USB_Type_C,,2,8,8,7.328391075131055e-05,6.246566772460938e-05,0.0001495480537414254,0.00024437904357905,0.0011911988258361502,3.948807716369629e-05,2.5659799575805664e-05,0.0006180703639983975,0.997314453125,0.00010949373245238438,2.887845039367676e-05,7.891654968261563e-05,2.9534101486206055e-05,3.594160079956055e-05,3.0368566513061523e-05,8,8
000f21ac.jpg,,USB_Type_C,000f21ac_trim.jpg,3,8,8,0.0002622008323668972,0.0002465844154357,0.00086927413940425,0.0138468742370605,0.00532913208007805,0.0010327696800231747,0.0001172423362731582,0.0007621049880981,0.973876953125,0.00018408894538878693,5.537271499633789e-05,0.001671344041824297,0.0002954006195068047,0.0006995499134063533,0.0007571280002593775,8,8
0013fa17.jpg,"[1458, 1756, 2304, 2602]",DisplayPort,,0,14,14,0.00020354986190792773,0.00017616152763362246,0.0001929402351379,0.0002091526985168,0.0015928745269775,0.00010874867439265254,0.00019726157188412245,0.00312304496765135,0.00128078460693355,0.00015842914581298202,8.976459503173828e-05,0.0001025497913360207,6.559491157531055e-05,0.00017935037612911288,0.992431640625,14,14
00150bc1.jpg,"[1181, 1692, 1658, 1985]",USB_Type_C,,2,8,8,0.00020891427993770001,0.00017207860946652148,0.00021579861640925,0.00057470798492425,0.0015509128570556,0.00098842382431025,0.00012806057929985,0.00024729967117305,0.995361328125,5.6743621826171875e-05,4.4286251068115234e-05,0.0001145303249359,3.522634506225586e-05,0.00013899803161618047,0.00014010071754451972,8,8
00328ce5.jpg,,USB_Micro_B,00328ce5_trim.jpg,1,4,4,0.000889778137207,0.00175285339355465,0.00058174133300775,0.0069341659545898,0.966796875,0.00054931640624995,0.00071668624877925,0.00200939178466795,0.01502227783203125,0.0008299350738524999,0.0005190968513488,0.0009474754333495501,0.0017828941345214501,0.00036865472793569994,0.00042080879211425,4,4
0038263c.jpg,,Lightning_T,0038263c_trim.jpg,4,11,11,0.00016853213310240604,6.833672523498535e-05,9.873509407041973e-05,0.0009113252162933037,0.00044918060302729995,0.00026521086692805527,0.0001782476902007588,0.00110691785812375,0.00212436914443965,0.00020912289619443535,0.00013580918312072675,0.993896484375,3.644824028015137e-05,0.000151753425598125,0.0002985596656798832,11,11
00476816.jpg,"[897, 2206, 1743, 3052]",USB_Type_A,,1,7,7,0.00048783421516417205,0.00719350576400755,0.0002806186676025,0.01048696041107175,0.01691603660583495,0.0026181638240813836,8.207559585566719e-05,0.94091796875,0.0141358375549316,0.0004454255104064504,0.002135396003723132,0.00156658887863155,0.0003081560134887383,0.002116858959197998,0.0003117918968200262,7,7
004c5505.jpg,"[1171, 1406, 2045, 2280]",USB_Micro_B,,4,4,4,0.0005554854869842279,0.0006437301635742,0.0006831288337707269,0.00390487909317015,0.986572265625,0.00014418363571163672,0.0007123649120330342,0.00222396850585935,0.00110030174255365,0.0001345276832580418,0.0002130568027496041,0.0005084276199340695,0.0024764239788055047,0.00015422701835627402,0.00011092424392695976,4,4
005fc418.jpg,"[1599, 736, 2739, 2015]",USB_Type_C,,3,8,8,0.00075030326843255,0.0025420784950255996,0.0004784166812896385,0.001073926687240588,0.0217781066894531,0.0006949603557586232,0.00046807527542111444,0.0030939579010009497,0.95556640625,0.0002911686897277,0.0003267228603362803,0.0089747309684753,0.0018360614776611,0.0017383396625518673,0.0002714991569518652,8,8
007d45c8.jpg,"[1089, 1593, 1747, 2259]",Lightning_T,,2,11,11,1.3589859008789062e-05,2.065300941467285e-05,3.814697265625e-06,1.5079975128173828e-05,0.0001045167446136252,1.4513731002807617e-05,2.9385089874267578e-05,4.0471553802490234e-05,9.819865226741191e-05,1.33514404296875e-05,4.26173210144043e-06,0.99951171875,1.9073486328125e-06,1.615285873413086e-05,1.150369644165039e-05,11,11
0087cf99.jpg,,USB_Micro_B,0087cf99_trim.jpg,0,4,4,0.00012838840484616484,0.0005167126655578582,2.0831823348999023e-05,0.0005847811698913324,0.99658203125,0.0003397464752197,8.550286293026543e-05,0.000682353973388625,0.000387668609619125,0.0001461505889892,7.423758506774902e-05,0.00011220574378965996,0.00026553869247429997,9.083747863765898e-05,4.634261131286621e-05,4,4
00a4d448.jpg,"[419, 1521, 1198, 1979]",HDMI,,1,0,0,0.942626953125,0.0106992721557617,0.00035166740417475,0.00488251447677605,0.02306556701660155,0.0009526312351226494,0.00311303138732905,0.0019135475158691,0.0016174316406249501,0.0069317817687987995,0.0006483197212218957,0.0006254017353057768,0.0010578632354736,0.00042116641998285,0.00117325782775875,0,0
00b8f2fd.jpg,"[1195, 1750, 1681, 1962]",USB_Type_C,,2,8,8,0.00012564659118644998,0.00066000223159785,0.00010329484939575195,0.00035119056701655,0.0135814547538757,0.0008340477943419999,0.0001288950443267795,0.0002374947071075,0.98095703125,0.00016295909881588439,0.0002384185791015,0.0006318092346191,0.00020053982734679474,0.0015292167663574,0.00021049380302426622,8,8
00c08d89.jpg,,USB_Micro_B,00c08d89_trim.jpg,1,4,4,0.0003454685211181,0.0007812976837158,4.214048385620117e-05,0.00248897075653075,0.99169921875,0.00086891651153555,0.00016993284225461368,0.0005669593811034499,0.0009491443634032999,0.00028291344642638537,0.0002321004867553,0.0002367198467254545,0.0010654926300048499,0.0002769827842712293,0.00016248226165766874,4,4
00e2c609.jpg,,HDMI,00e2c609_trim.jpg,0,0,0,0.994384765625,0.0004275739192962631,7.933378219601016e-05,0.00017642974853513828,0.00112992525100705,0.00019472837448119258,0.0001740157604217498,0.0004959106445312,0.00075972080230705,0.0002554953098296861,5.653500556945801e-05,0.00014039874076839668,8.094310760498047e-05,6.890296936033301e-05,0.0017242431640624501,0,0
00f3ca2e.jpg,"[1411, 1506, 1829, 1929]",USB_Type_C,,1,8,8,5.310773849487305e-05,0.0002641081809997,0.00041046738624572597,0.00201177597045895,0.0091464519500732,0.00010883808135985899,0.0003436207771301254,0.00273400545120235,0.983154296875,0.0007907450199127134,3.507733345031738e-05,0.0002565681934356416,0.00015252828598017617,0.0004229843616485502,6.169080734252442e-05,8,8
